
Set # 1

Length,Numbers per Tow,Variance of Numbers,Proportion at Length,Variance of Proportion at Length,
   36,  2.741238E-002,  7.514387E-004,  2.238212E-002,  5.076263E-004,
   37,  5.482476E-002,  3.005755E-003,  4.476424E-002,  2.030505E-003,
   38,  5.482476E-002,  1.335891E-003,  4.476424E-002,  9.172624E-004,
   39,  1.273848E-001,  3.791666E-003,  1.040093E-001,  3.095313E-003,
   40,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   41,  2.741238E-002,  7.514387E-004,  2.238212E-002,  5.076263E-004,
   42,  2.741238E-002,  7.514387E-004,  2.238212E-002,  5.076263E-004,
   43,  4.514764E-002,  2.038309E-003,  3.686290E-002,  1.527077E-003,
   44,  7.256002E-002,  2.789748E-003,  5.924502E-002,  2.147813E-003,
   45,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   46,  4.514764E-002,  2.038309E-003,  3.686290E-002,  1.527077E-003,
   47,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,

Average Length,   3.510491E+001,
Variance of Average Length,   1.378916E+002,
Std Error of Average Length,   1.174273E+001,
